skill_id,problem_ids,primary_problem_id,current_role,target_role,target_owner,overlap_with,unique_assets,routing_change,delete_allowed_after_migration,risk_level,rationale
alphafold-database,protein_structure_evidence,protein_structure_evidence,route_authority,keep,,pdb-database; esm,scripts=0; references=1; assets=0,"keep as route authority for AlphaFold Database predicted structures, UniProt lookup, mmCIF/PDB downloads, pLDDT, and PAE",False,low,Structure evidence supports protein workflows but does not own the main task.
anndata,single_cell_data_container,single_cell_data_container,route_authority,keep,,scanpy; scvi-tools; cellxgene-census,scripts=0; references=5; assets=0,"keep as route authority for AnnData/h5ad containers, annotated matrices, metadata, backed mode, and sparse single-cell data handling",False,low,AnnData is a data structure layer used inside single-cell workflows.
biopython,sequence_io_entrez,sequence_io_entrez,route_authority,keep,,gget; pysam; database assistants,scripts=0; references=7; assets=0,"keep as route authority and planning/coding default for sequence IO, FASTA, GenBank, SeqIO, Entrez, and sequence conversion",False,medium,"Biopython is broad and useful, but negative routing boundaries must stop it from swallowing single-cell, DESeq2, BAM/VCF, ESM, COBRApy, and flow cytometry prompts."
bioservices,cross_database_aggregation,cross_database_aggregation,route_authority,keep,,kegg-database; reactome-database; uniprot-like services,scripts=4; references=3; assets=0,"keep as route authority for BioServices cross-database workflows, UniProt/KEGG/Reactome service access, and ID mapping",False,medium,Cross-service lookup is valuable but must not override a more specific workflow owner.
cellxgene-census,single_cell_reference_evidence,single_cell_reference_evidence,route_authority,keep,,scanpy; anndata,scripts=0; references=2; assets=0,"keep as route authority for CZ CELLxGENE Census queries, cell/tissue/disease filters, expression data, metadata, and census-scale single-cell access",False,low,Cellxgene Census supports single-cell reference lookup inside scanpy workflows.
clinvar-database,variant_clinical_evidence,variant_clinical_evidence,route_authority,keep,,cosmic-database; gwas-database,scripts=0; references=3; assets=0,"keep as route authority for ClinVar clinical significance, pathogenicity, VUS, review status, and variant annotation evidence",False,low,ClinVar lookup is evidence retrieval inside a variant interpretation workflow.
cosmic-database,cancer_variant_evidence,cancer_variant_evidence,route_authority,keep,,clinvar-database; gwas-database,scripts=1; references=1; assets=0,"keep as route authority for COSMIC cancer mutations, Cancer Gene Census, mutational signatures, and cancer variant evidence",False,low,COSMIC is supporting evidence for cancer variant work.
deeptools,genomics_track_processing,genomics_track_processing,route_authority,keep,,pysam,scripts=2; references=4; assets=1,"keep as route authority for deepTools, BAM to bigWig conversion, genomics signal tracks, QC, heatmaps, and profile plots",False,medium,deepTools is a genomics processing helper with a narrower route surface than pysam.
ensembl-database,ensembl_annotation_evidence,ensembl_annotation_evidence,route_authority,keep,,gget; gene-database,scripts=1; references=1; assets=0,"keep as route authority for Ensembl REST, gene/transcript lookup, VEP, orthologs, comparative genomics, and coordinate conversion",False,low,Ensembl lookup should support gget and sequence workflows.
gene-database,gene_annotation_evidence,gene_annotation_evidence,route_authority,keep,,ensembl-database; opentargets-database,scripts=3; references=2; assets=0,"keep as route authority for NCBI Gene search, gene symbols, RefSeqs, GO annotations, and gene metadata",False,low,Gene lookup supports annotation but should not own whole workflows.
gget,gene_symbol_lookup,gene_symbol_lookup,route_authority,keep,,biopython; bioservices; ensembl-database; gene-database,scripts=3; references=3; assets=0,"keep as route authority for quick gene, transcript, Ensembl, BLAST, and symbol lookup",False,low,Quick lookup is a separate user intent from full single-cell or differential-expression workflows.
gwas-database,gwas_trait_evidence,gwas_trait_evidence,route_authority,keep,,clinvar-database; opentargets-database,scripts=0; references=1; assets=0,"keep as route authority for GWAS Catalog SNP-trait associations, rs IDs, p-values, summary statistics, and genetic epidemiology evidence",False,low,GWAS evidence is supporting context for genetics workflows.
kegg-database,pathway_metabolism_evidence,pathway_metabolism_evidence,route_authority,keep,,reactome-database; bioservices,scripts=1; references=1; assets=0,"keep as route authority for KEGG REST, pathway mapping, ID conversion, metabolic pathways, and KEGG-specific control",False,low,KEGG is useful evidence for pathway and metabolism workflows.
opentargets-database,target_disease_evidence,target_disease_evidence,route_authority,keep,,gene-database; gwas-database,scripts=1; references=3; assets=0,"keep as route authority for Open Targets target-disease associations, tractability, safety, genetics evidence, and known drugs",False,low,"OpenTargets supports target evidence, not the main computational workflow."
pdb-database,protein_structure_evidence,protein_structure_evidence,route_authority,keep,,alphafold-database; string-database,scripts=0; references=1; assets=0,"keep as route authority for RCSB PDB structure search, sequence similarity, structure metadata, and coordinate downloads",False,low,PDB lookup supports structural interpretation but is not the primary route for protein embeddings.
pydeseq2,bulk_rnaseq_differential_expression,bulk_rnaseq_differential_expression,route_authority,keep,,scanpy; statistical-analysis,scripts=1; references=2; assets=0,"keep as route authority for bulk RNA-seq differential expression, DESeq2-style statistics, MA plots, and volcano plots",False,low,Bulk RNA-seq differential expression must not be absorbed by scanpy or biopython.
pysam,alignment_variant_files,alignment_variant_files,route_authority,keep,,biopython; tiledbvcf,scripts=0; references=4; assets=0,"keep as route authority for BAM/SAM/CRAM/VCF parsing, pileup, coverage, and variant-file handling",False,low,Alignment and variant files are concrete coding/research tasks with a dedicated Python owner.
reactome-database,pathway_evidence,pathway_evidence,route_authority,keep,,kegg-database; bioservices,scripts=1; references=1; assets=0,"keep as route authority for Reactome pathway enrichment, gene-pathway mapping, reactions, and disease pathways",False,low,Reactome supports pathway interpretation inside larger workflows.
